Date,Adj Close,Close,High,Low,Open,Volume
2021-11-18,63811.5625,70200.0,71000.0,70200.0,70700.0,10144957
2021-11-19,64720.546875,71200.0,71400.0,70100.0,70400.0,11954728
2021-11-22,68083.84375,74900.0,75200.0,73000.0,73300.0,27506623
2021-11-23,68447.4375,75300.0,76000.0,74500.0,76000.0,22029195
2021-11-24,67992.9453125,74800.0,76200.0,74100.0,76000.0,15652305
2021-11-25,66993.0390625,73700.0,75100.0,73600.0,75100.0,12559258
2021-11-26,65720.4296875,72300.0,74100.0,72000.0,73500.0,13002242
2021-11-29,65720.4296875,72300.0,73000.0,71400.0,71700.0,16682559
2021-11-30,64811.44921875,71300.0,73900.0,70500.0,73200.0,30364841
2021-12-01,67629.34375,74400.0,74800.0,71600.0,72000.0,21954856
2021-12-02,68901.9375,75800.0,75800.0,73800.0,73900.0,23652940
2021-12-03,68720.1328125,75600.0,76000.0,74100.0,75600.0,18330240
2021-12-06,69356.4453125,76300.0,76700.0,74900.0,75100.0,16391250
2021-12-07,70356.328125,77400.0,77700.0,75600.0,76100.0,19232453
2021-12-08,70356.328125,77400.0,78600.0,77100.0,78300.0,21558340
2021-12-09,71083.53125,78200.0,78200.0,77000.0,77400.0,21604528
2021-12-10,69901.84375,76900.0,77600.0,76800.0,77400.0,9155219
2021-12-13,69810.9453125,76800.0,78300.0,76500.0,77200.0,15038750
2021-12-14,69992.734375,77000.0,77200.0,76200.0,76500.0,10976660
2021-12-15,70538.125,77600.0,77600.0,76300.0,76400.0,9584939
2021-12-16,70719.9453125,77800.0,78500.0,77400.0,78500.0,11996128
2021-12-17,70901.71875,78000.0,78000.0,76800.0,76800.0,13108479
2021-12-20,70083.625,77100.0,77800.0,76800.0,77600.0,11264375
2021-12-21,70992.6171875,78100.0,78300.0,77500.0,77900.0,14245298
2021-12-22,72174.3203125,79400.0,79400.0,78800.0,78900.0,17105892
2021-12-23,72628.8125,79900.0,80000.0,79300.0,79800.0,13577498
2021-12-24,73174.21875,80500.0,80800.0,80200.0,80200.0,12086380
2021-12-27,72901.5234375,80200.0,80600.0,79800.0,80600.0,10783368
